image_filename,label_id,x,y,w,h,confidence
itp_1.jpg,3,876.0,545.0,37.0,73.0,0.4157894
itp_1.jpg,3,875.0,546.0,32.0,70.0,0.5568151
itp_1.jpg,1,35.0,532.0,171.0,131.0,0.6223757
itp_1.jpg,3,872.0,548.0,30.0,64.0,0.6289536
itp_1.jpg,2,1532.0,534.0,54.0,124.0,0.72712094
itp_1.jpg,1,650.0,555.0,105.0,60.0,0.9018421
itp_1.jpg,1,457.0,559.0,115.0,58.0,0.90539175
itp_10.jpg,1,1082.0,214.0,189.0,229.0,0.95267344
itp_100.jpg,1,618.0,614.0,159.0,120.0,0.3533196
itp_100.jpg,4,1234.0,597.0,102.0,207.0,0.38845846
itp_100.jpg,1,1682.0,608.0,237.0,245.0,0.8655783
itp_100.jpg,3,1233.0,597.0,103.0,209.0,0.87148315
itp_100.jpg,1,674.0,615.0,145.0,112.0,0.90269643
itp_100.jpg,3,1450.0,535.0,318.0,503.0,0.9121182
itp_100.jpg,1,862.0,574.0,250.0,192.0,0.91538006
itp_100.jpg,1,431.0,604.0,304.0,200.0,0.94983435
itp_100.jpg,1,0.0,578.0,531.0,383.0,0.9638174
itp_1000.jpg,1,1092.0,618.0,95.0,74.0,0.90001374
itp_1000.jpg,1,1231.0,359.0,618.0,517.0,0.96227175
itp_1000.jpg,1,715.0,570.0,376.0,325.0,0.9679282
itp_101.jpg,1,862.0,267.0,57.0,56.0,0.32888007
itp_101.jpg,2,1445.0,298.0,38.0,74.0,0.45322552
itp_101.jpg,1,1216.0,310.0,97.0,41.0,0.52722114
itp_101.jpg,1,1523.0,312.0,220.0,98.0,0.9220432
itp_103.jpg,4,1517.0,577.0,83.0,159.0,0.5089945
itp_103.jpg,1,413.0,565.0,127.0,78.0,0.57702994
itp_103.jpg,1,1087.0,601.0,109.0,90.0,0.904212
itp_103.jpg,1,487.0,564.0,162.0,120.0,0.91655165
itp_103.jpg,1,1212.0,599.0,274.0,189.0,0.94970137
itp_103.jpg,1,574.0,544.0,572.0,435.0,0.96572495
itp_104.jpg,1,1184.0,625.0,186.0,133.0,0.8158873
itp_104.jpg,1,1402.0,584.0,516.0,396.0,0.97368425
itp_104.jpg,1,637.0,560.0,643.0,481.0,0.97480625
itp_105.jpg,1,1135.0,633.0,261.0,163.0,0.5834766
itp_105.jpg,1,1116.0,607.0,280.0,196.0,0.75001615
itp_105.jpg,1,1285.0,566.0,621.0,402.0,0.95588285
itp_105.jpg,1,668.0,552.0,459.0,390.0,0.9660495
itp_106.jpg,3,1855.0,301.0,61.0,107.0,0.37115517
itp_106.jpg,3,1884.0,307.0,36.0,96.0,0.56848174
itp_106.jpg,1,53.0,317.0,122.0,61.0,0.629855
itp_106.jpg,1,928.0,275.0,208.0,119.0,0.8613714
itp_106.jpg,3,1822.0,292.0,75.0,125.0,0.8805185
itp_106.jpg,1,0.0,324.0,177.0,356.0,0.9028388
itp_106.jpg,1,1261.0,292.0,308.0,123.0,0.9420029
itp_106.jpg,1,645.0,229.0,311.0,262.0,0.9588382
itp_107.jpg,1,1383.0,337.0,537.0,275.0,0.95935386
itp_108.jpg,2,1452.0,301.0,33.0,71.0,0.3117432
itp_108.jpg,2,1433.0,302.0,36.0,68.0,0.32585737
itp_108.jpg,2,1431.0,301.0,52.0,70.0,0.43505868
itp_108.jpg,2,1445.0,302.0,37.0,70.0,0.45025986
itp_108.jpg,1,1592.0,320.0,121.0,55.0,0.48054776
itp_108.jpg,1,467.0,263.0,476.0,217.0,0.95799154
itp_11.jpg,1,824.0,187.0,179.0,218.0,0.9397214
itp_110.jpg,1,1121.0,626.0,267.0,106.0,0.4552284
itp_110.jpg,3,1362.0,614.0,69.0,141.0,0.76573104
itp_110.jpg,1,1261.0,619.0,130.0,97.0,0.9133791
itp_110.jpg,3,16.0,519.0,255.0,445.0,0.92315066
itp_110.jpg,1,1122.0,628.0,168.0,121.0,0.93325204
itp_110.jpg,1,754.0,572.0,407.0,331.0,0.95514363
itp_110.jpg,1,1477.0,613.0,351.0,248.0,0.961677
itp_111.jpg,1,994.0,286.0,163.0,104.0,0.84840447
itp_111.jpg,1,352.0,205.0,497.0,376.0,0.9596676
itp_112.jpg,3,954.0,277.0,55.0,92.0,0.4463609
itp_112.jpg,1,1575.0,311.0,345.0,356.0,0.92893267
itp_113.jpg,1,577.0,537.0,590.0,483.0,0.95862865
itp_113.jpg,1,1235.0,589.0,484.0,324.0,0.9656188
itp_114.jpg,3,867.0,526.0,40.0,65.0,0.48771265
itp_114.jpg,3,836.0,425.0,186.0,421.0,0.6069775
itp_115.jpg,1,981.0,222.0,175.0,210.0,0.94209456
itp_116.jpg,1,0.0,635.0,60.0,54.0,0.3347021
itp_116.jpg,1,660.0,612.0,122.0,64.0,0.8835531
itp_116.jpg,1,1660.0,596.0,260.0,440.0,0.9244988
itp_116.jpg,1,1355.0,613.0,258.0,161.0,0.9389542
itp_116.jpg,1,1127.0,594.0,324.0,214.0,0.94421107
itp_116.jpg,1,737.0,562.0,492.0,400.0,0.9702169
itp_117.jpg,1,27.0,587.0,239.0,141.0,0.8579783
itp_117.jpg,1,757.0,589.0,407.0,335.0,0.9620903
itp_118.jpg,1,672.0,622.0,104.0,53.0,0.7189883
itp_118.jpg,1,1137.0,623.0,186.0,124.0,0.9512486
itp_118.jpg,1,1263.0,603.0,447.0,265.0,0.9685856
itp_118.jpg,1,774.0,587.0,380.0,325.0,0.9702229
itp_119.jpg,1,1879.0,310.0,41.0,118.0,0.4423421
itp_119.jpg,1,154.0,261.0,333.0,215.0,0.96106684
itp_12.jpg,1,460.0,542.0,73.0,38.0,0.660517
itp_12.jpg,1,758.0,541.0,48.0,32.0,0.8008394
itp_120.jpg,1,598.0,603.0,193.0,100.0,0.38409323
itp_120.jpg,1,510.0,602.0,102.0,67.0,0.8359329
itp_120.jpg,1,653.0,601.0,139.0,106.0,0.85530853
itp_120.jpg,1,585.0,606.0,118.0,78.0,0.8923481
itp_120.jpg,1,914.0,520.0,247.0,203.0,0.9161395
itp_120.jpg,1,1165.0,610.0,279.0,185.0,0.9500654
itp_120.jpg,1,751.0,586.0,315.0,260.0,0.9609448
itp_120.jpg,1,1355.0,575.0,532.0,328.0,0.9716121
itp_121.jpg,1,1595.0,617.0,248.0,96.0,0.6228625
itp_121.jpg,1,555.0,606.0,199.0,152.0,0.62518483
itp_121.jpg,3,1199.0,596.0,68.0,139.0,0.9092733
itp_121.jpg,3,1253.0,589.0,93.0,202.0,0.9133311
itp_121.jpg,1,813.0,285.0,361.0,510.0,0.9461366
itp_121.jpg,1,38.0,582.0,565.0,336.0,0.9605027
itp_122.jpg,3,1147.0,525.0,83.0,124.0,0.5649924
itp_122.jpg,1,723.0,557.0,62.0,45.0,0.6684822
itp_122.jpg,2,1410.0,542.0,44.0,106.0,0.8050592
itp_122.jpg,1,651.0,555.0,98.0,61.0,0.90412784
itp_122.jpg,1,845.0,528.0,211.0,109.0,0.9082814
itp_122.jpg,1,457.0,558.0,113.0,60.0,0.90935314
itp_123.jpg,1,942.0,513.0,267.0,225.0,0.87224567
itp_123.jpg,1,663.0,597.0,141.0,115.0,0.8741356
itp_123.jpg,1,427.0,594.0,152.0,101.0,0.9200318
itp_123.jpg,1,1161.0,610.0,282.0,186.0,0.94769436
itp_123.jpg,1,76.0,567.0,323.0,245.0,0.9500436
itp_123.jpg,1,751.0,582.0,330.0,273.0,0.9595189
itp_123.jpg,1,1352.0,574.0,541.0,329.0,0.9677762
itp_124.jpg,1,903.0,170.0,1003.0,639.0,0.6466596
itp_124.jpg,1,390.0,276.0,711.0,287.0,0.9087817
itp_125.jpg,1,1035.0,651.0,49.0,37.0,0.32017314
itp_125.jpg,1,70.0,618.0,280.0,138.0,0.46260628
itp_125.jpg,1,899.0,645.0,39.0,38.0,0.73230267
itp_125.jpg,1,599.0,613.0,273.0,221.0,0.96164215
itp_126.jpg,1,996.0,40.0,804.0,491.0,0.6230618
itp_126.jpg,2,1507.0,244.0,150.0,382.0,0.9043389
itp_126.jpg,1,0.0,272.0,448.0,463.0,0.9577333
itp_127.jpg,1,821.0,296.0,61.0,30.0,0.3284116
itp_127.jpg,1,814.0,294.0,41.0,26.0,0.34210196
itp_127.jpg,1,846.0,295.0,74.0,37.0,0.34310168
itp_127.jpg,1,855.0,295.0,70.0,36.0,0.38415465
itp_127.jpg,1,890.0,297.0,59.0,36.0,0.39195448
itp_127.jpg,1,814.0,297.0,43.0,26.0,0.530064
itp_127.jpg,1,892.0,295.0,55.0,35.0,0.58075994
itp_127.jpg,1,723.0,294.0,41.0,28.0,0.7189027
itp_127.jpg,1,420.0,150.0,143.0,93.0,0.7294333
itp_127.jpg,1,849.0,296.0,56.0,33.0,0.79766834
itp_127.jpg,1,621.0,281.0,70.0,47.0,0.82109296
itp_128.jpg,1,371.0,306.0,145.0,80.0,0.47100472
itp_128.jpg,1,664.0,299.0,114.0,81.0,0.6506864
itp_128.jpg,1,1073.0,303.0,126.0,94.0,0.91191286
itp_128.jpg,1,133.0,298.0,290.0,150.0,0.9229578
itp_128.jpg,1,836.0,277.0,162.0,135.0,0.93536824
itp_129.jpg,1,616.0,266.0,96.0,48.0,0.329772
itp_129.jpg,1,826.0,179.0,169.0,201.0,0.9407192
itp_130.jpg,1,822.0,289.0,41.0,37.0,0.63159794
itp_130.jpg,1,867.0,295.0,90.0,73.0,0.9079858
itp_131.jpg,2,1483.0,595.0,72.0,175.0,0.69936174
